, F-score
SMC_241,0.23008849557522126
SMC_269,0.192090395480226
SMC_137,0.41935483870967744
SMC_109,0.34375
SMC_121,0.1473684210526316
SMC_135,0.34210526315789475
SMC_257,0.3841059602649007
SMC_243,0.22680412371134018
SMC_280,0.6322580645161291
SMC_069,0.7586206896551724
SMC_055,0.3571428571428571
SMC_041,0.2096774193548387
SMC_096,0.4878048780487805
SMC_082,0.65
SMC_054,0.3603603603603604
SMC_068,0.6115702479338844
SMC_281,0.8943089430894309
SMC_242,0.15483870967741936
SMC_256,0.2376237623762376
SMC_120,0.33043478260869563
SMC_124,0.1797752808988764
SMC_130,0.24390243902439024
SMC_118,0.19148936170212766
SMC_252,0.3715846994535519
SMC_285,0.34328358208955223
SMC_044,0.29813664596273287
SMC_093,0.7045454545454545
SMC_087,0.5346534653465346
SMC_086,0.3387096774193549
SMC_092,0.593939393939394
SMC_079,0.6666666666666667
SMC_051,0.18181818181818185
SMC_284,0.848
SMC_253,0.2909090909090909
SMC_119,0.20588235294117646
SMC_133,0.14285714285714285
SMC_127,0.2363636363636364
SMC_251,0.06756756756756757
SMC_279,0.9927007299270074
SMC_286,0.9739130434782608
SMC_047,0.28125
SMC_084,0.22018348623853212
SMC_085,0.21897810218978103
SMC_052,0.5210084033613445
SMC_046,0.09836065573770492
SMC_287,0.8592592592592593
SMC_278,0.9333333333333332
SMC_244,0.2818791946308725
SMC_126,0.20689655172413793
